battery_mAh,screen_height_cm,screen_width_px,weight_g,internal_memory_GB,color_variety,has_4g,screen_height_px,has_wifi,talk_time_hr,primary_camera_mp,brand_popularity,thickness_cm,screen_width_cm,year_release,ram_MB,front_camera_mp,cpu_cores,has_bluetooth,has_3g,cpu_speed_GHz,has_touchscreen,has_dual_sim,price_range
842,9,756,188,7,5,0,20,1,19,2,7,0.6,7,2016,2549,1,2,0,0,2.2,0,0,1
1021,17,1988,136,53,2,1,905,0,7,6,4,0.7,3,2019,2631,0,3,1,1,0.5,1,1,2
563,11,1716,145,41,1,1,1263,0,9,6,8,0.9,2,2016,2603,2,5,1,1,0.5,1,1,2
615,16,1786,131,10,2,0,1216,0,11,9,5,0.8,8,2016,2769,0,6,1,1,2.5,0,0,2
1821,8,1212,141,44,5,1,1208,0,15,14,7,0.6,2,2020,1411,13,2,1,1,1.2,1,0,1
1859,17,1654,164,22,1,0,1004,0,10,7,10,0.7,1,2023,1067,3,1,0,1,0.5,0,1,1
1821,13,1018,139,10,4,1,381,1,18,10,3,0.8,8,2018,3220,4,8,0,1,1.7,0,0,3
1954,16,1149,187,24,3,0,512,1,5,0,7,0.8,3,2020,700,0,4,0,1,0.5,1,1,0
1445,17,836,174,53,1,0,386,0,20,14,8,0.7,1,2021,1099,0,7,1,1,0.5,0,0,0
509,19,1224,93,9,5,1,1137,0,12,15,5,0.1,10,2020,513,2,5,1,1,0.6,0,1,0
769,5,874,182,9,1,0,248,0,7,1,4,0.1,2,2022,3946,0,5,1,0,2.9,0,1,3
1520,14,1005,177,33,2,1,151,1,13,18,8,0.5,9,2018,3826,5,8,1,1,2.2,1,0,3
1815,18,748,159,33,1,0,607,0,2,17,8,0.6,0,2015,1482,2,4,0,1,2.8,0,0,1
803,7,1440,198,17,4,0,344,1,4,11,3,1.0,1,2021,2680,7,4,1,1,2.1,0,0,2
1866,14,563,185,52,1,1,356,1,3,17,6,0.7,9,2017,373,13,1,0,1,0.5,0,0,0
775,17,1864,159,46,3,0,862,1,11,16,5,0.7,15,2020,568,3,2,0,1,1.0,1,0,0
838,10,1850,196,13,1,1,984,1,19,4,2,0.1,9,2016,3554,1,8,0,1,0.5,0,0,3
595,10,810,121,23,2,1,441,0,18,17,8,0.1,2,2023,3752,7,3,0,1,0.9,1,1,3
1131,19,878,101,49,1,0,658,0,16,18,6,0.6,13,2015,1835,11,5,1,1,0.5,1,1,1
682,11,1064,121,19,4,0,902,1,18,11,2,1.0,1,2020,2337,4,4,1,0,0.5,1,0,1
772,17,1854,81,39,5,0,1314,0,3,14,5,0.8,15,2020,2819,12,7,0,1,1.1,1,1,3
1709,17,1385,156,13,1,0,974,0,15,2,1,1.0,1,2019,3283,1,2,1,1,2.1,0,0,3
1949,11,822,199,47,1,0,407,1,20,7,10,0.3,5,2019,1433,4,4,0,0,2.6,0,1,1
1602,8,788,114,38,3,1,466,0,20,20,6,0.7,7,2015,1037,4,3,1,1,2.8,0,1,0
503,11,1245,111,8,4,1,201,0,12,13,9,0.4,0,2019,2583,5,3,0,1,1.2,0,1,1
961,18,1434,114,57,5,1,291,1,7,3,1,0.6,9,2016,2782,0,8,1,1,1.4,1,1,2
